file,type,count,distinct_retired_ids,retired_ids,lines_also_naming_an_in_service_module
code_audit/run27_98_module_remediation_matrix.csv,per-module audit rows (committed artifact),45,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,2
code_audit/run34_parameter_class_count_closure.csv,per-module audit rows (committed artifact),45,5,D1.1 D1.2 D1.3 D1.4 D1.5,0
server/tools/run27_curation.py,audit-artifact generator / tool,45,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,1
code_audit/run27_remediation_work_packages.csv,per-module audit rows (committed artifact),42,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,9
server/app/simulation/parameters.py,simulation source (formula/registry/canonical),42,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 D1.1 D1.2 D1.3 D1.4 D1.5,6
assets/js/knowledge.js,browser taxonomy / render source,40,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
assets/js/workspace.js,browser taxonomy / render source,40,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,6
code_audit/run20_master_remediation_register.csv,per-module audit rows (committed artifact),40,26,A1.1 A3.4 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 D1.5,4
server/tools/test_run30_closure_non_vacuity.py,test suite,40,12,B2.1 B2.10 B2.11 B2.13 B2.14 B2.16 B2.17 B2.19 B2.2 B2.20 B2.7 B2.9,1
assets/js/decision-ui.js,browser taxonomy / render source,39,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,8
