label,element_class,element_type,element_name,shape,rendered_fill_or_stroke,rendered_stroke,rendered_opacity,filter,state_or_class,allowed_on_empty_project,verdict
after,node,document,Time-phased Schedule / Baseline,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Schedule Update / Look-ahead,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Monthly Progress Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Change Order / PCO,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Submittal Register,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,OAC Meeting Minutes,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Daily / Weekly Field Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Inspection Report / NCR,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,NCR Log (Non-Conformance),circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Subcontractor Performance Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Procurement Log,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Look-Ahead Schedule (6-week),circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Resource Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Cost Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Past Performance Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Safety Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Quality Audit Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Environmental Compliance Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Historical Project Data,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Test & Commissioning Report,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Correspondence / Notice,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Risk Register,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,RFI Log (register),circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,RFA / Approval Log,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Cost and EVM Performance->Project status,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Schedule Performance->Project status,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Cost Risk->Project status,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Document-Derived Condition Signals->Proj,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,System Dynamics and Complexity->Project ,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Delivery Quality Performance->Project st,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Signal Synthesis->Project status,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Evidence Combination->Project status,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Regulatory and Authority Thresholds->Pro,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,CATEGORY -> PROJECT STATUS,Decision Optimization->Project status,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Monte Carlo EAC Forecast->Cost and EVM P,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,CUSUM Anomaly Monitor->Cost and EVM Perf,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Bayesian EAC->Cost and EVM Performance,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Kalman Filter SPI Smoother->Cost and EVM,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,ARIMA CPI Forecast->Cost and EVM Perform,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Earned Schedule->Cost and EVM Performanc,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,TCPI->Cost and EVM Performance,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Variance at Completion->Cost and EVM Per,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Budget Execution Rate->Cost and EVM Perf,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Regression to Mean CPI->Cost and EVM Per,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,ICE Ratio->Cost and EVM Performance,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,PERT Network Criticality->Schedule Perfo,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Line of Balance->Schedule Performance,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,CCPM Buffer Health->Schedule Performance,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Schedule Compression Index->Schedule Per,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
